#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+--------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                  | delivered(/fb) | recorded(/fb) |
| 304000:6247 | 09/27/17 15:43:21 | 56   | DST_HT410_PFScouting_v12 | 0.010854211    | 0.010644324   |
| 304062:6252 | 09/27/17 22:37:25 | 1961 | DST_HT410_PFScouting_v12 | 0.394968863    | 0.382104603   |
| 304119:6253 | 09/28/17 14:28:48 | 72   | DST_HT410_PFScouting_v12 | 0.023552054    | 0.020997149   |
| 304120:6253 | 09/28/17 15:00:38 | 252  | DST_HT410_PFScouting_v12 | 0.077523528    | 0.072288318   |
| 304125:6253 | 09/28/17 16:40:12 | 1769 | DST_HT410_PFScouting_v12 | 0.347273370    | 0.338100566   |
| 304144:6255 | 09/29/17 07:27:56 | 2580 | DST_HT410_PFScouting_v12 | 0.556715891    | 0.533880991   |
| 304158:6258 | 09/30/17 08:34:02 | 1922 | DST_HT410_PFScouting_v12 | 0.383216886    | 0.370884680   |
| 304169:6259 | 10/01/17 00:12:01 | 1666 | DST_HT410_PFScouting_v12 | 0.349924792    | 0.338518799   |
| 304170:6259 | 10/01/17 11:08:28 | 620  | DST_HT410_PFScouting_v12 | 0.077076858    | 0.075626313   |
| 304199:6261 | 10/01/17 20:52:32 | 5    | DST_HT410_PFScouting_v12 | 0.001576346    | 0.000059034   |
| 304200:6261 | 10/01/17 20:55:56 | 321  | DST_HT410_PFScouting_v12 | 0.092919221    | 0.088141923   |
| 304204:6262 | 10/02/17 01:41:28 | 553  | DST_HT410_PFScouting_v12 | 0.162979487    | 0.153181548   |
| 304209:6263 | 10/02/17 07:33:50 | 405  | DST_HT410_PFScouting_v12 | 0.126121024    | 0.116173536   |
| 304291:6266 | 10/02/17 19:40:12 | 22   | DST_HT410_PFScouting_v12 | 0.005820331    | 0.003372765   |
| 304292:6266 | 10/02/17 19:51:42 | 1753 | DST_HT410_PFScouting_v12 | 0.367803706    | 0.347239887   |
| 304333:6268 | 10/03/17 13:50:16 | 1580 | DST_HT410_PFScouting_v12 | 0.382161342    | 0.366646071   |
| 304354:6269 | 10/04/17 05:17:59 | 214  | DST_HT410_PFScouting_v12 | 0.072347948    | 0.068254535   |
| 304366:6271 | 10/04/17 11:20:21 | 1819 | DST_HT410_PFScouting_v12 | 0.435690667    | 0.419018022   |
| 304446:6272 | 10/05/17 02:46:48 | 55   | DST_HT410_PFScouting_v12 | 0.019514966    | 0.016790734   |
| 304447:6272 | 10/05/17 03:17:36 | 1639 | DST_HT410_PFScouting_v12 | 0.386189265    | 0.368514943   |
| 304451:6272 | 10/05/17 14:14:42 | 54   | DST_HT410_PFScouting_v12 | 0.007874267    | 0.007415690   |
| 304505:6275 | 10/05/17 20:53:15 | 26   | DST_HT410_PFScouting_v12 | 0.009158243    | 0.007711608   |
| 304506:6275 | 10/05/17 21:04:50 | 370  | DST_HT410_PFScouting_v12 | 0.124625294    | 0.119535842   |
| 304507:6275 | 10/05/17 23:32:15 | 235  | DST_HT410_PFScouting_v12 | 0.069246748    | 0.050591787   |
| 304508:6275 | 10/06/17 01:07:03 | 1324 | DST_HT410_PFScouting_v12 | 0.254739967    | 0.248024590   |
| 304562:6276 | 10/06/17 14:30:33 | 794  | DST_HT410_PFScouting_v12 | 0.235445282    | 0.221933738   |
| 304616:6278 | 10/07/17 00:15:30 | 942  | DST_HT410_PFScouting_v12 | 0.267760823    | 0.253368597   |
